,children,dob_years,education_id,family_status_id,gender,income_type,debt,total_income,purpose,years_employed,lemmas_purpose
0,1,42.0,0,0,F,сотрудник,0,253875.64,покупка жилья,23.11,"['покупка', ' ', 'жилье', '\n']"
1,1,36.0,1,0,F,сотрудник,0,112080.016,приобретение автомобиля,11.02,"['приобретение', ' ', 'автомобиль', '\n']"
2,0,33.0,1,0,M,сотрудник,0,145885.95,покупка жилья,15.41,"['покупка', ' ', 'жилье', '\n']"
3,3,32.0,1,0,M,сотрудник,0,267628.56,дополнительное образование,11.3,"['дополнительный', ' ', 'образование', '\n']"
4,0,53.0,1,1,F,пенсионер,0,158616.08,сыграть свадьбу,38.84,"['сыграть', ' ', 'свадьба', '\n']"
5,0,27.0,0,1,M,компаньон,0,255763.56,покупка жилья,2.537,"['покупка', ' ', 'жилье', '\n']"
6,0,43.0,0,0,F,компаньон,0,240525.97,операции с жильем,7.887,"['операция', ' ', 'с', ' ', 'жилье', '\n']"
7,0,50.0,1,0,M,сотрудник,0,135823.94,образование,0.4185,"['образование', '\n']"
8,2,35.0,0,1,F,сотрудник,0,95856.836,на проведение свадьбы,18.98,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
9,0,41.0,1,0,M,сотрудник,0,144425.94,покупка жилья для семьи,5.996,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'семья', '\n']"
10,2,36.0,0,0,M,компаньон,0,113943.49,покупка недвижимости,11.43,"['покупка', ' ', 'недвижимость', '\n']"
11,0,40.0,1,0,F,сотрудник,0,77069.234,покупка коммерческой недвижимости,2.172,"['покупка', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
12,0,65.0,1,1,M,пенсионер,0,145017.94,сыграть свадьбу,41.66,"['сыграть', ' ', 'свадьба', '\n']"
13,0,54.0,2,0,F,сотрудник,0,130458.23,приобретение автомобиля,5.06,"['приобретение', ' ', 'автомобиль', '\n']"
14,0,56.0,0,1,F,компаньон,1,165127.9,покупка жилой недвижимости,5.055,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
15,1,26.0,1,0,F,сотрудник,0,116820.91,строительство собственной недвижимости,2.664,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
16,0,35.0,1,0,F,сотрудник,0,289202.72,недвижимость,4.71,"['недвижимость', '\n']"
17,0,33.0,0,1,M,сотрудник,0,90410.586,строительство недвижимости,6.492,"['строительство', ' ', 'недвижимость', '\n']"
